Dist ,Position,Year
355,48,2022
364,40,2022
364,41,2022
364,46,2022
370,43,2022
374,7,2022
378,45,2022
378,38,2022
378,48,2022
383,15,2022
383,36,2022
383,37,2022
389,43,2022
389,20,2022
391,3,2022
392,6,2022
392,40,2022
394,3,2022
394,36,2022
395,38,2022
396,11,2022
397,39,2022
401,5,2022
404,14,2022
405,17,2022
405,18,2022
406,15,2022
410,26,2022
410,21,2022
412,12,2022
413,21,2022
414,13,2022
414,33,2022
415,22,2022
417,16,2022
418,24,2022
419,13,2022
420,25,2022
420,26,2022
422,27,2022
423,42,2022
423,22,2022
427,12,2022
427,25,2022
429,1,2022
429,4,2022
430,17,2022
431,3,2022
431,24,2022
431,2,2022
431,23,2022
434,26,2022
435,27,2022
436,25,2022
443,9,2022
444,24,2022
449,5,2022
449,25,2022
450,8,2022
453,27,2022
453,11,2022
456,16,2022
456,19,2022
465,24,2022
455,31,2021
417,8,2021
416,21,2021
372,48,2021
440,32,2021
435,26,2021
445,7,2021
383,27,2021
404,22,2021
370,3,2021
413,17,2021
437,6,2021
411,41,2021
361,43,2021
397,19,2021
411,48,2021
361,48,2021
399,22,2021
365,30,2021
376,7,2021
367,5,2021
396,3,2021
402,32,2021
371,18,2021
408,22,2021
361,47,2021
422,9,2021
382,30,2021
424,29,2021
408,20,2021
432,48,2021
374,3,2021
395,36,2021
411,13,2021
396,28,2021
417,49,2021
411,10,2022
439,16,2020
431,7,2020
413,46,2020
397,16,2020
371,38,2020
411,45,2020
427,49,2020
384,6,2020
439,33,2020
432,16,2019
442,45,2019
380,14,2019
420,35,2019
401,21,2019
390,46,2019
430,42,2019
393,20,2019
417,20,2019
400,19,2019
428,35,2019
386,21,2019
409,16,2019
403,10,2019
401,44,2019
420,46,2019
433,42,2019
375,42,2019
417,6,2019
437,29,2019
366,28,2019
447,44,2019
384,26,2019
426,31,2019
411,44,2019
371,8,2019
450,26,2018
391,25,2018
361,17,2018
398,39,2018
419,13,2018
395,26,2018
365,15,2018
423,37,2018
404,33,2018
390,23,2018
424,25,2018
396,42,2018
373,19,2018
385,45,2018
432,4,2018
373,22,2018
376,27,2018
368,35,2018
433,50,2018
364,42,2018
388,36,2018
411,25,2018
424,46,2018
437,22,2018
411,7,2018
381,35,2018
383,39,2018
355,48,2017
364,40,2017
364,41,2017
364,46,2017
370,43,2017
374,7,2017
378,45,2017
378,38,2017
378,48,2017
383,15,2017
383,36,2017
383,37,2017
389,43,2017
389,20,2017
391,3,2017
392,6,2017
392,40,2017
394,3,2017
394,36,2017
395,38,2017
396,11,2017
397,39,2017
401,5,2017
404,14,2017
405,17,2017
405,18,2017
406,15,2017
410,26,2017
410,21,2017
412,12,2017
413,21,2017
414,13,2017
414,33,2017
415,22,2017
417,16,2017
418,24,2017
419,13,2017
420,25,2017
420,26,2017
422,27,2017
423,42,2017
423,22,2017
427,12,2017
427,25,2017
429,1,2017
429,4,2017
430,17,2017
431,3,2017
431,24,2017
431,2,2017
431,23,2017
418,12,2016
450,13,2016
382,45,2016
370,42,2016